date,time_of_day,hour,temperature,precipitation,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm,temp_max_daily,temp_min_daily,precipitation_sum_daily,sunshine_duration_daily
2026-01-01,evening,18,13.0,0.0,,,,,20.1,7.9,0.0,27217.34
2026-01-02,morning,6,18.4,0.0,,,,,19.4,10.4,0.0,30524.59
2026-01-02,midday,12,16.8,0.0,,,,,19.4,10.4,0.0,30524.59
2026-01-02,evening,18,14.4,0.0,,,,,19.4,10.4,0.0,30524.59
2026-01-03,morning,6,15.9,0.0,,,,,17.6,8.6,0.1,2976.71
2026-01-03,midday,12,15.9,0.0,,,,,17.6,8.6,0.1,2976.71
2026-01-03,evening,18,11.2,0.0,,,,,17.6,8.6,0.1,2976.71
2026-01-04,morning,6,15.5,0.0,,,,,16.9,8.1,0.0,28468.78
2026-01-04,midday,12,14.2,0.0,,,,,16.9,8.1,0.0,28468.78
2026-01-04,evening,18,11.1,0.0,,,,,16.9,8.1,0.0,28468.78
2026-01-05,morning,6,16.1,0.0,,,,,17.9,8.7,0.0,33208.58
2026-01-05,midday,12,15.7,0.0,,,,,17.9,8.7,0.0,33208.58
2026-01-05,evening,18,11.1,0.0,,,,,17.9,8.7,0.0,33208.58
2026-01-06,morning,6,16.0,0.0,,,,,18.5,8.1,0.0,33337.04
2026-01-06,midday,12,15.6,0.0,,,,,18.5,8.1,0.0,33337.04
2026-01-06,evening,18,10.9,0.0,,,,,18.5,8.1,0.0,33337.04
2026-01-07,morning,6,14.6,0.0,,,,,17.7,7.7,0.0,24402.48
2026-01-07,midday,12,14.5,0.0,,,,,17.7,7.7,0.0,24402.48
2026-01-07,evening,18,9.1,0.0,,,,,17.7,7.7,0.0,24402.48
2026-01-08,morning,6,12.7,0.0,,,,,17.0,7.4,0.0,25298.77
2026-01-08,midday,12,14.4,0.0,,,,,17.0,7.4,0.0,25298.77
2026-01-08,evening,18,9.3,0.0,,,,,17.0,7.4,0.0,25298.77
2026-01-09,morning,6,13.2,0.0,,,,,18.2,7.2,0.0,24202.05
2026-01-09,midday,12,15.2,0.0,,,,,18.2,7.2,0.0,24202.05
2026-01-09,evening,18,10.8,0.0,,,,,18.2,7.2,0.0,24202.05
2026-01-10,morning,6,18.7,0.0,,,,,21.4,7.7,0.0,33877.26
2026-01-10,midday,12,18.4,0.0,,,,,21.4,7.7,0.0,33877.26
2026-01-10,evening,18,12.9,0.0,,,,,21.4,7.7,0.0,33877.26
